id,bloque,piso,puerta,tipo,superficie,precio,estado,orientacion,garaje,trastero,terraza
VIV-A101,A,1,A,2D,85.5,185000,Disponible,Sur,Si,Si,12.0
VIV-A102,A,1,B,3D,105.2,235000,Reservada,Norte,Si,Si,15.0
VIV-A103,A,1,C,2D,87.3,190000,Disponible,Este,Si,No,10.0
VIV-A104,A,1,D,1D,62.8,145000,Vendida,Oeste,No,Si,8.0
VIV-A201,A,2,A,2D,85.5,190000,Disponible,Sur,Si,Si,12.0
VIV-A202,A,2,B,3D,105.2,240000,Disponible,Norte,Si,Si,15.0
VIV-B601,B,6,A,ATICO,145.5,385000,Disponible,Sur,Si,Si,55.0
VIV-B602,B,6,B,ATICO,152.8,395000,Reservada,Norte,Si,Si,60.0
VIV-C401,C,4,A,DUPLEX,165.0,425000,Disponible,Sur-Este,Si,Si,45.0
VIV-C402,C,4,B,DUPLEX,168.5,435000,En Construcción,Sur-Oeste,Si,Si,48.0
